Systime,Date,Time,OutsideAirTemperature (°C),LocalizerDeviation (-1..1),GlideslopeDeviation (-1..1),FlightDirectorOn_Off,AutopilotMode,GroundSpeed (kts),GroundTrack (°M),CrossTrackDeviation (nm),VerticalDeviation (ft),AltimeterSetting (in.hg),AltBug (ft),VSIBug (ft/min),HdgBug (°),DisplayMode,NavigationMode,ActiveWptId,GPSSelect    ,NavaidBrg (°M),OBS (°M),DesiredTrack (°M),NavFreq (kHz),CrsSelect    ,NavType      ,CourseDeviation (°),GPSAltitude (m),DistanceToActiveWpt (nm),GPSState,GPSHorizProtLimit (m),GPSVertProtLimit (m),HPL_SBAS (m),VPL_SBAS (m),HFOM (m),VFOM (m),FmsCourse (°M),MagVar (° -W/+E),GPS MSL Altitude (m),GPS AGL Height (m),FLTA RTC (m),FLTA ATC (m),FLTA vspd (fpm),FLTA RTC dist (m),FLTA terr dist (m),FLTA Status
69771453,20170224,19:22:51,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,0,0,0,0,0,0,0x3
69772245,20170224,19:22:52,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.2,0,12.5,155,0,0,0,0,0,0,0x3
69773037,20170224,19:22:53,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-1,0,0,0x3
69773829,20170224,19:22:53,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,0,0,0,0x3
69774621,20170224,19:22:54,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-1,0,0,0x3
69775413,20170224,19:22:55,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,0,0,0,0x3
69776205,20170224,19:22:56,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,0,0,0,0x3
69776997,20170224,19:22:56,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,0,0,0,0x3
69777789,20170224,19:22:57,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-1,0,0,0x3
69778581,20170224,19:22:58,13,0.000,0.000,0,-,0,-12,0.000,0,30.13,15000,0,103,0,1,,1,0,360,0,117100,0,1,0,121,0.0,5,29.5,37.1,0.0,0.0,15.1,20.3,0,12.5,155,0,0,0,-1,0,0,0x3
